date,symbol,cash,shares,close,position_value,portfolio_value,daily_pnl,daily_return,breakout_signal,rolling_high,atr,window_test_start
2023-01-24 14:30:00,XLE,100000.0,0,45.125,0.0,100000.0,0.0,0.0,False,45.79499816894531,1.001070840018136,2023-01-04 14:30:00
2023-01-25 14:30:00,XLE,100000.0,0,45.130001068115234,0.0,100000.0,0.0,0.0,False,45.79499816894531,0.994999749319894,2023-01-04 14:30:00
2023-01-26 14:30:00,XLE,100000.0,0,46.55500030517578,0.0,100000.0,0.0,0.0,True,45.79499816894531,1.012856892177037,2023-01-04 14:30:00
2023-01-27 14:30:00,XLE,27.50434112548828,2159,45.6150016784668,98482.78862380981,98510.2929649353,-1489.7070350646973,-0.014897070350647024,False,46.57500076293945,0.9889283861432757,2023-01-04 14:30:00
2023-01-30 14:30:00,XLE,27.50434112548828,2159,44.56999969482422,96226.62934112549,96254.13368225098,-2256.159282684326,-0.02290277710865607,False,46.57500076293945,0.994643075125558,2023-01-04 14:30:00
2023-01-31 14:30:00,XLE,95930.28038787842,0,44.96500015258789,0.0,95930.28038787842,-323.8532943725586,-0.0033645650527762694,False,46.57500076293945,1.015357153756278,2023-01-04 14:30:00
2023-02-01 14:30:00,XLE,95930.28038787842,0,44.08000183105469,0.0,95930.28038787842,0.0,0.0,False,46.57500076293945,1.0603572300502233,2023-01-04 14:30:00
2023-02-02 14:30:00,XLE,95930.28038787842,0,43.07500076293945,0.0,95930.28038787842,0.0,0.0,False,46.57500076293945,1.085357393537249,2023-01-04 14:30:00
2023-02-03 14:30:00,XLE,95930.28038787842,0,42.97999954223633,0.0,95930.28038787842,0.0,0.0,False,46.57500076293945,1.109286172049386,2023-01-04 14:30:00
2023-02-06 14:30:00,XLE,95930.28038787842,0,42.78499984741211,0.0,95930.28038787842,0.0,0.0,False,46.57500076293945,1.140000479561942,2023-01-04 14:30:00
2023-02-07 14:30:00,XLE,95930.28038787842,0,44.17499923706055,0.0,95930.28038787842,0.0,0.0,False,46.57500076293945,1.1307149614606584,2023-01-04 14:30:00
2023-02-08 14:30:00,XLE,95930.28038787842,0,43.779998779296875,0.0,95930.28038787842,0.0,0.0,False,46.57500076293945,1.1132153102329798,2023-01-04 14:30:00
2023-02-09 14:30:00,XLE,95930.28038787842,0,43.404998779296875,0.0,95930.28038787842,0.0,0.0,False,46.57500076293945,1.0839296068464006,2023-01-04 14:30:00
2023-02-10 14:30:00,XLE,95930.28038787842,0,45.10499954223633,0.0,95930.28038787842,0.0,0.0,False,46.53499984741211,1.1660725729806083,2023-01-04 14:30:00
2023-02-13 14:30:00,XLE,95930.28038787842,0,44.9900016784668,0.0,95930.28038787842,0.0,0.0,False,45.349998474121094,1.1435726710728236,2023-01-04 14:30:00
2023-02-14 14:30:00,XLE,95930.28038787842,0,45.005001068115234,0.0,95930.28038787842,0.0,0.0,False,45.19499969482422,1.1353582654680525,2023-01-04 14:30:00
2023-02-15 14:30:00,XLE,95930.28038787842,0,44.2400016784668,0.0,95930.28038787842,0.0,0.0,False,45.334999084472656,1.1271441323416573,2023-01-04 14:30:00
2023-02-16 14:30:00,XLE,95930.28038787842,0,43.80500030517578,0.0,95930.28038787842,0.0,0.0,False,45.334999084472656,1.0989300864083427,2023-01-04 14:30:00
2023-02-17 14:30:00,XLE,95930.28038787842,0,42.244998931884766,0.0,95930.28038787842,0.0,0.0,False,45.334999084472656,1.144644056047712,2023-01-04 14:30:00
2023-02-21 14:30:00,XLE,95930.28038787842,0,42.03499984741211,0.0,95930.28038787842,0.0,0.0,False,45.334999084472656,1.108572551182338,2023-01-04 14:30:00
2023-02-22 14:30:00,XLE,95930.28038787842,0,41.755001068115234,0.0,95930.28038787842,0.0,0.0,False,45.334999084472656,1.069643838065011,2023-01-04 14:30:00
2023-02-23 14:30:00,XLE,95930.28038787842,0,42.3849983215332,0.0,95930.28038787842,0.0,0.0,False,45.334999084472656,1.0264293125697546,2023-01-04 14:30:00
2023-02-24 14:30:00,XLE,95930.28038787842,0,42.33000183105469,0.0,95930.28038787842,0.0,0.0,False,45.334999084472656,1.0157149178641183,2023-01-04 14:30:00
2023-02-27 14:30:00,XLE,95930.28038787842,0,42.45500183105469,0.0,95930.28038787842,0.0,0.0,False,45.334999084472656,0.9764289855957031,2023-01-04 14:30:00
2023-02-28 14:30:00,XLE,95930.28038787842,0,41.845001220703125,0.0,95930.28038787842,0.0,0.0,False,45.334999084472656,0.9503574371337891,2023-01-04 14:30:00
2023-03-01 14:30:00,XLE,95930.28038787842,0,42.66999816894531,0.0,95930.28038787842,0.0,0.0,False,45.334999084472656,0.9735715048653739,2023-01-04 14:30:00
2023-03-02 14:30:00,XLE,95930.28038787842,0,43.04499816894531,0.0,95930.28038787842,0.0,0.0,False,44.595001220703125,0.9875003269740513,2023-01-04 14:30:00
2023-03-03 14:30:00,XLE,95930.28038787842,0,43.630001068115234,0.0,95930.28038787842,0.0,0.0,False,44.380001068115234,0.9557146344866071,2023-01-04 14:30:00
2023-03-06 14:30:00,XLE,95930.28038787842,0,43.650001525878906,0.0,95930.28038787842,0.0,0.0,False,43.845001220703125,0.9378574916294643,2023-01-04 14:30:00
2023-03-07 14:30:00,XLE,95930.28038787842,0,42.88999938964844,0.0,95930.28038787842,0.0,0.0,False,43.845001220703125,0.9410719190325055,2023-01-04 14:30:00
2023-03-08 14:30:00,XLE,95930.28038787842,0,42.45000076293945,0.0,95930.28038787842,0.0,0.0,False,43.845001220703125,0.932143075125558,2023-01-04 14:30:00
2023-03-09 14:30:00,XLE,95930.28038787842,0,41.849998474121094,0.0,95930.28038787842,0.0,0.0,False,43.845001220703125,0.9917855943952288,2023-01-04 14:30:00
2023-03-10 14:30:00,XLE,95930.28038787842,0,41.314998626708984,0.0,95930.28038787842,0.0,0.0,False,43.845001220703125,0.9646426609584263,2023-01-04 14:30:00
2023-03-13 13:30:00,XLE,95930.28038787842,0,40.474998474121094,0.0,95930.28038787842,0.0,0.0,False,43.845001220703125,1.049999782017299,2023-01-04 14:30:00
2023-03-14 13:30:00,XLE,95930.28038787842,0,40.875,0.0,95930.28038787842,0.0,0.0,False,43.845001220703125,1.1007142748151506,2023-01-04 14:30:00
2023-03-15 13:30:00,XLE,95930.28038787842,0,38.68000030517578,0.0,95930.28038787842,0.0,0.0,False,43.845001220703125,1.2350000653948103,2023-01-04 14:30:00
2023-03-16 13:30:00,XLE,95930.28038787842,0,39.099998474121094,0.0,95930.28038787842,0.0,0.0,False,43.845001220703125,1.2814287458147322,2023-01-04 14:30:00
2023-03-17 13:30:00,XLE,95930.28038787842,0,38.48500061035156,0.0,95930.28038787842,0.0,0.0,False,43.845001220703125,1.3167860848563058,2023-01-04 14:30:00
2023-03-20 13:30:00,XLE,95930.28038787842,0,38.849998474121094,0.0,95930.28038787842,0.0,0.0,False,43.720001220703125,1.3139288766043526,2023-01-04 14:30:00
2023-03-21 13:30:00,XLE,95930.28038787842,0,40.19499969482422,0.0,95930.28038787842,0.0,0.0,False,43.5,1.3360718318394251,2023-01-04 14:30:00
2023-03-22 13:30:00,XLE,95930.28038787842,0,39.34000015258789,0.0,95930.28038787842,0.0,0.0,False,43.29499816894531,1.3610714503696986,2023-01-04 14:30:00
2023-03-23 13:30:00,XLE,95930.28038787842,0,38.79499816894531,0.0,95930.28038787842,0.0,0.0,False,43.29499816894531,1.3707144601004464,2023-01-04 14:30:00
2023-03-24 13:30:00,XLE,95930.28038787842,0,38.94499969482422,0.0,95930.28038787842,0.0,0.0,False,42.439998626708984,1.4196431296212333,2023-01-04 14:30:00
2023-03-27 13:30:00,XLE,95930.28038787842,0,39.775001525878906,0.0,95930.28038787842,0.0,0.0,False,41.78499984741211,1.4328572409493583,2023-01-04 14:30:00
2023-03-28 13:30:00,XLE,95930.28038787842,0,40.38999938964844,0.0,95930.28038787842,0.0,0.0,False,41.78499984741211,1.4203572954450334,2023-01-04 14:30:00
2023-03-29 13:30:00,XLE,95930.28038787842,0,40.95000076293945,0.0,95930.28038787842,0.0,0.0,True,40.564998626708984,1.3596431187220983,2023-01-04 14:30:00
2023-03-30 13:30:00,XLE,-4032.8118286132812,2421,41.130001068115234,99575.73258590698,95542.9207572937,-387.3596305847168,-0.00403792868131414,True,40.994998931884766,1.2950003487723214,2023-01-04 14:30:00
2023-03-31 13:30:00,XLE,-4032.8118286132812,2421,41.415000915527344,100265.7172164917,96232.90538787842,689.9846305847168,0.007221724279682373,True,41.349998474121094,1.1978577205113001,2023-01-04 14:30:00
2023-04-03 13:30:00,XLE,-4032.8118286132812,2421,43.290000915527344,104805.0922164917,100772.28038787842,4539.375,0.04717071548139895,True,41.48500061035156,1.2353575570242745,2023-01-04 14:30:00
2023-04-04 13:30:00,XLE,-4032.8118286132812,2421,42.505001068115234,102904.60758590698,98871.7957572937,-1900.4846305847168,-0.018859200399848453,False,43.56999969482422,1.135000228881836,2023-01-04 14:30:00
2023-04-25 13:30:00,XLE,100000.0,0,42.33000183105469,0.0,100000.0,1128.2042427062988,0.011410779323516751,False,43.869998931884766,0.7274998256138393,2023-04-05 13:30:00
2023-04-26 13:30:00,XLE,100000.0,0,41.76499938964844,0.0,100000.0,0.0,0.0,False,43.869998931884766,0.7289284297398159,2023-04-05 13:30:00
