symbol,data_source,observations,trades,average_return_per_trade,annualized_sharpe_ratio,total_return,max_drawdown,windows
XLE,yahoo_fallback,1075,16,-0.005949143752161323,0.35137703939929726,0.10915060531616216,-0.10485900346746069,13
QQQ,yahoo_fallback,1075,22,0.0066909639906563186,-0.0466043843840117,0.008481024169921803,-0.12456922886700461,13
IWM,yahoo_fallback,1075,12,-0.0013534373325931697,-0.051849295660796685,0.009727157592773539,-0.10446658861288238,13
SPY,yahoo_fallback,1075,32,0.0017990443738263272,-0.13514445582487045,0.0,-0.13089512319687657,13
TLT,yahoo_fallback,1075,16,-0.011388465039742057,-0.1703168110959547,-0.009254435348510781,-0.14949556929163965,13
GLD,yahoo_fallback,1075,25,0.007261427891986263,-0.20261273323024093,-0.05884075622558593,-0.20963915823694168,13
